,0,1,2,3,4
183,2018-03-16 17:26:49.971,-18000000,0.44696044921875,-0.21270751953125,0.0745849609375
184,2018-03-16 17:26:50.051,-18000000,0.44830322265625,-0.21234130859375,0.06964111328125
185,2018-03-16 17:26:50.131,-18000000,0.44866943359375,-0.21356201171875,0.06622314453125
186,2018-03-16 17:26:50.211,-18000000,0.44683837890625,-0.214599609375,0.064208984375
187,2018-03-16 17:26:50.291,-18000000,0.447265625,-0.213623046875,0.06292724609375
188,2018-03-16 17:26:50.764,-18000000,0.44927978515625,-0.2156982421875,0.06134033203125
198,2018-03-16 17:26:51.055,-18000000,0.4493408203125,-0.21875,0.06829833984375
201,2018-03-16 17:26:51.103,-18000000,0.447265625,-0.21722412109375,0.06756591796875
202,2018-03-16 17:26:51.151,-18000000,0.44781494140625,-0.21844482421875,0.06817626953125
203,2018-03-16 17:26:51.199,-18000000,0.44921875,-0.21844482421875,0.0670166015625
204,2018-03-16 17:26:51.247,-18000000,0.44769287109375,-0.2176513671875,0.0655517578125
205,2018-03-16 17:26:51.295,-18000000,0.4471435546875,-0.2176513671875,0.066162109375
206,2018-03-16 17:26:51.343,-18000000,0.44903564453125,-0.21685791015625,0.06488037109375
207,2018-03-16 17:26:51.391,-18000000,0.4510498046875,-0.2178955078125,0.05810546875
208,2018-03-16 17:26:51.439,-18000000,0.45147705078125,-0.22015380859375,0.05462646484375
209,2018-03-16 17:26:51.487,-18000000,0.45123291015625,-0.2208251953125,0.0535888671875
210,2018-03-16 17:26:51.934,-18000000,255230.0,121.0,139581.0
215,2018-03-16 17:26:51.973,-18000000,34814.0,196647.0,140093.0
216,2018-03-16 17:26:52.012,-18000000,22783.0,131085.0,139709.0
217,2018-03-16 17:26:52.051,-18000000,19711.0,196593.0,139773.0
218,2018-03-16 17:26:52.090,-18000000,4351.0,262133.0,139709.0
219,2018-03-16 17:26:52.129,-18000000,2559.0,196676.0,140605.0
220,2018-03-16 17:26:52.168,-18000000,3839.0,196681.0,140861.0
221,2018-03-16 17:26:52.207,-18000000,261631.0,97.0,141309.0
222,2018-03-16 17:26:52.246,-18000000,4351.0,196719.0,141501.0
223,2018-03-16 17:26:52.285,-18000000,5375.0,65661.0,141949.0
225,2018-03-16 17:26:52.318,-18000000,256767.0,124.0,142013.0
226,2018-03-16 17:26:52.351,-18000000,247295.0,131187.0,142077.0
227,2018-03-16 17:26:52.384,-18000000,239615.0,131187.0,142077.0
228,2018-03-16 17:26:52.417,-18000000,234495.0,65655.0,142525.0
229,2018-03-16 17:26:52.450,-18000000,231423.0,196727.0,142973.0
230,2018-03-16 17:26:52.483,-18000000,238847.0,65667.0,143357.0
231,2018-03-16 17:26:52.516,-18000000,241407.0,140.0,143357.0
232,2018-03-16 17:26:52.549,-18000000,238079.0,196754.0,143997.0
233,2018-03-16 17:26:52.582,-18000000,238591.0,151.0,144381.0
